time	V(v_out)
Step Information: P=0  (Run: 1/11)
	0.000000e+000	6.170558e-002
	3.720809e-008	5.567288e-002
	1.116243e-007	4.366454e-002
	1.302283e-007	4.068645e-002
	1.674364e-007	3.477131e-002
	1.953425e-007	3.036757e-002
	2.325506e-007	2.452427e-002
	2.337133e-007	2.434221e-002
	2.360388e-007	2.397893e-002
	2.406898e-007	2.330699e-002
	2.499919e-007	2.257806e-002
	2.685959e-007	2.330579e-002
	3.039041e-007	2.763363e-002
	3.450716e-007	3.348474e-002
	4.274065e-007	4.500122e-002
	5.920763e-007	6.734329e-002
	9.214159e-007	1.107513e-001
	9.221972e-007	1.108527e-001
	9.237597e-007	1.110528e-001
	9.268847e-007	1.114488e-001
	9.331347e-007	1.121396e-001
	9.456347e-007	1.126039e-001
	9.706347e-007	1.107226e-001
	1.005404e-006	1.054636e-001
	1.042612e-006	9.908086e-002
	1.117028e-006	8.650125e-002
	1.265861e-006	6.172220e-002
	1.303070e-006	5.563427e-002
	1.377486e-006	4.362638e-002
	1.396090e-006	4.064841e-002
	1.433299e-006	3.473349e-002
	1.498413e-006	2.448684e-002
	1.499576e-006	2.430479e-002
	1.501901e-006	2.394152e-002
	1.506552e-006	2.326961e-002
	1.515854e-006	2.254074e-002
	1.534459e-006	2.328152e-002
	1.571667e-006	2.786834e-002
	1.610929e-006	3.344940e-002
	1.689452e-006	4.444049e-002
	1.846499e-006	6.579285e-002
	2.160593e-006	1.073231e-001
	2.166843e-006	1.081304e-001
	2.179343e-006	1.097181e-001
	2.182468e-006	1.101138e-001
	2.188718e-006	1.109039e-001
	2.190281e-006	1.111014e-001
	2.193406e-006	1.114960e-001
	2.199656e-006	1.121868e-001
	2.212156e-006	1.126522e-001
	2.237156e-006	1.107719e-001
	2.272035e-006	1.054956e-001
	2.309243e-006	9.911253e-002
	2.383659e-006	8.653244e-002
	2.532492e-006	6.175246e-002
	2.569700e-006	5.566430e-002
	2.644116e-006	4.365596e-002
	2.662720e-006	4.067788e-002
	2.699928e-006	3.476273e-002
	2.727834e-006	3.035900e-002
	2.765042e-006	2.451570e-002
	2.766205e-006	2.433364e-002
	2.768531e-006	2.397035e-002
	2.773182e-006	2.329842e-002
	2.782484e-006	2.256949e-002
	2.801088e-006	2.329722e-002
	2.836396e-006	2.762505e-002
	2.877563e-006	3.347617e-002
	2.959898e-006	4.499265e-002
	3.124568e-006	6.733471e-002
	3.453908e-006	1.107427e-001
	3.454689e-006	1.108442e-001
	3.456251e-006	1.110443e-001
	3.459376e-006	1.114403e-001
	3.465626e-006	1.121310e-001
	3.478126e-006	1.125953e-001
	3.503126e-006	1.107140e-001
	3.537895e-006	1.054550e-001
	3.575104e-006	9.907228e-002
	3.649520e-006	8.649267e-002
	3.798353e-006	6.171363e-002
	3.835562e-006	5.562569e-002
	3.909978e-006	4.361780e-002
	3.928582e-006	4.063984e-002
	3.965790e-006	3.472491e-002
	4.030905e-006	2.447827e-002
	4.032068e-006	2.429621e-002
	4.034393e-006	2.393294e-002
	4.039044e-006	2.326103e-002
	4.048346e-006	2.253216e-002
	4.066950e-006	2.327294e-002
	4.104159e-006	2.785976e-002
	4.143420e-006	3.344082e-002
	4.221944e-006	4.443191e-002
	4.378991e-006	6.578428e-002
	4.693085e-006	1.073145e-001
	4.699335e-006	1.081219e-001
	4.711835e-006	1.097096e-001
	4.714960e-006	1.101052e-001
	4.721210e-006	1.108953e-001
	4.722773e-006	1.110928e-001
	4.725898e-006	1.114875e-001
	4.732148e-006	1.121783e-001
	4.744648e-006	1.126437e-001
	4.769648e-006	1.107634e-001
	4.804527e-006	1.054870e-001
	4.841735e-006	9.910396e-002
	4.916151e-006	8.652387e-002
	5.064984e-006	6.174389e-002
	5.102192e-006	5.565573e-002
	5.176608e-006	4.364739e-002
	5.195212e-006	4.066930e-002
	5.232420e-006	3.475416e-002
	5.260326e-006	3.035042e-002
	5.297534e-006	2.450712e-002
	5.298697e-006	2.432506e-002
	5.301022e-006	2.396178e-002
	5.305673e-006	2.328984e-002
	5.314975e-006	2.256091e-002
	5.333580e-006	2.328864e-002
	5.368888e-006	2.761647e-002
	5.410055e-006	3.346759e-002
	5.492390e-006	4.498407e-002
	5.657060e-006	6.732614e-002
	5.986400e-006	1.107341e-001
	5.987181e-006	1.108356e-001
	5.988743e-006	1.110357e-001
	5.991868e-006	1.114317e-001
	5.998118e-006	1.121224e-001
	6.010618e-006	1.125867e-001
	6.035618e-006	1.107054e-001
	6.070387e-006	1.054465e-001
	6.107596e-006	9.906371e-002
	6.182012e-006	8.648410e-002
	6.330845e-006	6.170505e-002
	6.368053e-006	5.561712e-002
	6.442470e-006	4.360923e-002
	6.461074e-006	4.063126e-002
	6.498282e-006	3.471634e-002
	6.563397e-006	2.446969e-002
	6.564559e-006	2.428764e-002
	6.566885e-006	2.392436e-002
	6.571536e-006	2.325246e-002
	6.580838e-006	2.252359e-002
	6.599442e-006	2.326437e-002
	6.636650e-006	2.785119e-002
	6.675912e-006	3.343225e-002
	6.754436e-006	4.442333e-002
	6.911483e-006	6.577570e-002
	7.225577e-006	1.073060e-001
	7.231827e-006	1.081133e-001
	7.244327e-006	1.097010e-001
	7.247452e-006	1.100966e-001
	7.253702e-006	1.108868e-001
	7.255264e-006	1.110842e-001
	7.258389e-006	1.114789e-001
	7.264639e-006	1.121697e-001
	7.277139e-006	1.126351e-001
	7.302139e-006	1.107548e-001
	7.337019e-006	1.054784e-001
	7.374227e-006	9.909538e-002
	7.448643e-006	8.651529e-002
	7.597475e-006	6.173531e-002
